model_type,world_size,batch_size,num_experts,d_model,use_triton,use_nccl_opt,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_tokens_per_sec,max_memory_gb,Router,Dispatch_Comm,Expert_Compute,Combine_Comm,framework,experiment_type
ultimate,8,8192,256,1024,True,True,7.429547519683838,2.4589356237382445,6.988704204559326,31.213056564331055,7.0820159912109375,7.515987253189087,12.502911386489965,8820994.794954736,0.557315584,0.3755365813320333,2.511212513663552,3.3309343988245184,1.6453707673332907,UltimateMoE (Ours),
deepspeed,8,512,128,1024,False,False,6.628116788864136,1.1583693414172593,5.925856113433838,11.288288116455078,6.107647895812988,9.380245208740233,10.755430088043216,617973.4199737802,0.057679872,,,,,DeepSpeed-MoE,sota
megatron,8,512,128,1024,False,False,7.990896029472351,4.079179745413429,6.866176128387451,47.82761764526367,7.216447830200195,9.232913255691528,11.020524816513252,512583.317927422,0.30719488,,,,,Megatron-LM,sota
deepspeed,8,1024,128,1024,False,False,7.937299208641052,1.10637981627351,7.280416011810303,12.384223937988281,7.368640184402466,10.557339286804199,12.264251432418824,1032089.1004186491,0.072452608,,,,,DeepSpeed-MoE,sota
megatron,8,1024,128,1024,False,False,9.342473258972168,2.6382560376262845,8.4486083984375,34.81647872924805,8.839920043945312,10.442712259292602,13.22633818626415,876855.6005373313,0.341609984,,,,,Megatron-LM,sota
deepspeed,8,2048,128,1024,False,False,8.034896640777587,2.4082170001447465,7.304416179656982,30.329471588134766,7.4132161140441895,10.005878400802612,12.78559500694284,2039105.2595313059,0.103295488,,,,,DeepSpeed-MoE,sota
megatron,8,2048,128,1024,False,False,9.321871347427368,1.6672121199849106,8.600768089294434,23.25446319580078,8.78545618057251,11.099756813049316,13.675858011245777,1757587.0111661241,0.395485184,,,,,Megatron-LM,sota
deepspeed,8,4096,128,1024,False,False,8.607626838684082,2.554571424800479,7.960480213165283,32.812416076660156,8.043488025665283,9.841387128829954,13.34610167503367,3806856.4790396406,0.16602368,,,,,DeepSpeed-MoE,sota
megatron,8,4096,128,1024,False,False,10.359885768890381,3.873191508726929,9.546015739440918,47.762977600097656,9.629071712493896,12.88150405883789,14.618346424102954,3162969.238367354,0.51808512,,,,,Megatron-LM,sota
deepspeed,8,8192,128,1024,False,False,9.04189151763916,1.9585686793713197,8.571200370788574,27.700223922729492,8.647183895111084,10.048219108581543,12.197805976867755,7248040.9516250715,0.28495872,,,,,DeepSpeed-MoE,sota
megatron,8,8192,128,1024,False,False,13.243313302993775,5.637544644423247,12.209471702575684,68.78211212158203,12.304463863372803,14.492728233337402,17.740214614868428,4948610.555425354,0.751511552,,,,,Megatron-LM,sota
